Bromeliad	Carbon	Scenario	Time	Block	Abs
3	31	4	0	2	-0.001
3	5	4	0	2	0.071
3	16	4	0	2	0.143
3	17	4	0	2	0.095
3	6	4	0	2	0.069
3	10	4	0	2	0.404
3	24	4	0	2	-0.002
3	26	4	0	2	0.123
3	14	4	0	2	0.004
3	1	4	0	2	0.018
3	18	4	0	2	0.006
3	19	4	0	2	0.022
3	2	4	0	2	0.067
3	9	4	0	2	-0.015
3	27	4	0	2	0.027
3	28	4	0	2	0.182
3	21	4	0	2	0.080
3	25	4	0	2	0.106
3	20	4	0	2	0.097
3	13	4	0	2	0.009
3	15	4	0	2	-0.013
3	7	4	0	2	-0.003
3	12	4	0	2	-0.007
3	4	4	0	2	0.158
3	11	4	0	2	0.145
3	30	4	0	2	0.398
3	22	4	0	2	0.200
3	23	4	0	2	0.296
3	8	4	0	2	0.130
3	3	4	0	2	0.051
3	29	4	0	2	0.066
26	31	4	0	4	0.080
26	5	4	0	4	0.205
26	16	4	0	4	0.174
26	17	4	0	4	-0.012
26	6	4	0	4	0.244
26	10	4	0	4	0.165
26	24	4	0	4	0.162
26	26	4	0	4	0.453
26	14	4	0	4	0.136
26	1	4	0	4	0.176
26	18	4	0	4	0.298
26	19	4	0	4	0.272
26	2	4	0	4	-0.110
26	9	4	0	4	-0.078
26	27	4	0	4	-0.062
26	28	4	0	4	0.122
26	21	4	0	4	0.167
26	25	4	0	4	0.192
26	20	4	0	4	0.235
26	13	4	0	4	-0.106
26	15	4	0	4	-0.095
26	7	4	0	4	-0.118
26	12	4	0	4	-0.105
26	4	4	0	4	0.316
26	11	4	0	4	0.191
26	30	4	0	4	0.180
26	22	4	0	4	0.136
26	23	4	0	4	-0.113
26	8	4	0	4	-0.131
26	3	4	0	4	-0.117
26	29	4	0	4	-0.118
36	31	4	0	2	-0.007
36	5	4	0	2	0.054
36	16	4	0	2	0.087
36	17	4	0	2	0.000
36	6	4	0	2	0.065
36	10	4	0	2	0.008
36	24	4	0	2	0.006
36	26	4	0	2	0.010
36	14	4	0	2	-0.017
36	1	4	0	2	-0.016
36	18	4	0	2	-0.015
36	19	4	0	2	0.163
36	2	4	0	2	-0.007
